digital_media,device_access,device_access_grades,device_home,device_home_grades,BYOD,byod_grades,agency_code,year,Book_TitlesPer_Student,wap,wap_class,media_school,devices,category_code
-,No,-,No,-,Students,11:12,120310,2018,,,,,1.33,H
1,Yes,K:1:2:3:4:5,No,-,Neither,-,120312,2018,29.48,40.0,1.21,1998.0,0.77,E
1,No,-,No,-,Both,9:10:11:12,120314,2018,9.08,85.0,0.9,2000.0,1.31,H
1,No,-,No,-,Neither,-,120315,2018,18.19,59.0,1.64,2004.0,0.65,M
2,Yes,K:1:2:3:4:5,No,-,Neither,-,120316,2018,25.84,32.0,1.03,2000.0,0.91,E
1,No,-,No,-,Neither,-,120318,2018,10.51,98.0,1.61,1995.0,1.11,H
5,Yes,K:1:2:3:4:5,No,-,Neither,-,120320,2018,19.26,36.0,1.44,2001.0,0.68,E
10,Yes,K:1:2:3:4:5,No,-,Neither,-,120324,2018,28.44,43.0,1.48,2000.0,0.64,E
1,No,-,No,-,Neither,-,120334,2018,13.92,55.0,1.57,1999.0,0.86,M
1,Yes,1:2:3:4:5,No,-,Neither,-,120338,2018,19.28,42.0,1.56,2003.0,0.83,E
2,Yes,K:1:2:3:4:5,Yes,4:05,Neither,-,120340,2018,13.89,36.0,1.09,2003.0,0.61,E
1,Yes,1:2:3:4:5,No,-,Neither,-,120344,2018,31.06,27.0,1.35,2000.0,0.9,E
1,No,-,No,-,Neither,-,120346,2018,16.26,74.0,1.4,2001.0,0.77,H
1,Yes,6:07:08,No,-,Neither,-,120350,2018,17.06,53.0,1.15,1999.0,0.62,M
5,No,-,No,-,Neither,-,120352,2018,34.34,18.0,1.5,1996.0,1.54,A
0,Yes,1:2:3:4:5,No,-,Neither,-,120360,2018,30.11,33.0,1.22,1995.0,1.1,E
1,Yes,3:04:05,No,-,Neither,-,120364,2018,23.0,35.0,1.3,1999.0,0.93,E
1,Yes,K:1:2:3:4:5,No,-,Neither,-,120368,2018,20.12,46.0,1.15,2000.0,0.74,E
4,No,-,No,-,Both,9:10:11:12,120370,2018,11.83,72.0,1.29,2003.0,1.27,H
1,Yes,K:1:2:3:4:5,No,-,Neither,-,120372,2018,21.48,21.0,1.0,2001.0,0.69,E
1,Yes,K:1:2:3:4:5,No,-,Neither,-,120374,2018,11.26,43.0,1.13,1996.0,0.63,E
2,Yes,6:07:08,No,-,Neither,-,120376,2018,14.44,55.0,1.22,2002.0,0.49,M
1,Yes,K:1:2:3:4:5,No,-,Neither,-,120380,2018,18.95,40.0,1.25,1996.0,0.77,E
1,Yes,K:1:2:3:4:5,No,-,Neither,-,120386,2018,29.83,42.0,1.05,1998.0,0.64,E
4,Yes,6:07:08,No,-,Neither,-,120390,2018,10.7,56.0,1.3,2005.0,0.7,M
,,,,,,,120LEA,2018,17.96,1194.0,1.27,2000.0,0.78,
0,Yes,5:6:7:8,No,-,Neither,-,12A000,2018,12.5,5.0,0.2,2006.0,2.59,I
2,Yes,3:04:05,No,-,Neither,-,130304,2018,13.62,58.0,1.0,2001.0,0.65,E
1,No,-,No,-,Students,9:10:11:12,130307,2018,6.16,93.0,1.06,2005.0,0.67,H
1,No,-,No,-,Neither,-,130308,2018,12.09,52.0,1.33,2003.0,0.68,E
1,Yes,1:2:3:4:5,No,-,Both,K:1:2:3:4:5,130309,2018,19.24,30.0,1.0,2000.0,0.62,E
1,No,-,No,-,Both,9:10:11:12,130310,2018,4.61,101.0,1.07,2000.0,0.61,H
1,Yes,K:1:2:3:4:5,No,-,Neither,-,130311,2018,20.38,38.0,1.19,2006.0,0.55,E
1,Yes,3:04:05,No,-,Both,K:1:2:3:4:5,130312,2018,17.43,57.0,0.97,2001.0,0.9,E
2,Yes,6:07:08,No,-,Both,6:07:08,130313,2018,11.99,81.0,1.33,2004.0,0.57,M
0,Yes,9:10:11:12,No,-,Both,9:10:11:12,130314,2018,9.13,90.0,1.18,1991.0,0.6,H
3,Yes,6:07:08,No,-,Both,6:07:08,130315,2018,19.32,61.0,1.2,2004.0,0.74,M
1,No,-,No,-,Neither,-,130316,2018,8.51,124.0,1.59,2002.0,0.65,H
-,Yes,6:7:8:9:10:11:12,No,-,Neither,-,130317,2018,,19.0,1.46,,0.45,T
