metrics,year,unit_code,Lea_Name,School_Name,State_Name,category_cd,pct,num,lea_num,lea_pct,st_num,st_pct
GCE_ALL,2015,650308,New Hanover County Schools,Carolina Beach Elementary,State Of North Carolina,E,0.085,6.0,214.0,0.105,12367.0,0.104
GCE_ALL,2015,650309,New Hanover County Schools,Castle Hayne Elementary,State Of North Carolina,E,0.143,12.0,214.0,0.105,12367.0,0.104
GCE_ALL,2015,650312,New Hanover County Schools,R Freeman Sch of Engineering,State Of North Carolina,E,0.113,7.0,214.0,0.105,12367.0,0.104
GCE_ALL,2015,650316,New Hanover County Schools,College Park Elementary,State Of North Carolina,E,0.154,12.0,214.0,0.105,12367.0,0.104
GCE_ALL,2015,650323,New Hanover County Schools,Edwin A Anderson Elementary,State Of North Carolina,E,0.155,17.0,214.0,0.105,12367.0,0.104
GCE_ALL,2015,650324,New Hanover County Schools,"Edwin A Alderman Elementary, Wilmington",State Of North Carolina,E,0.0,0.0,214.0,0.105,12367.0,0.104
GCE_ALL,2015,650328,New Hanover County Schools,Forest Hills Global Elementary,State Of North Carolina,E,0.075,5.0,214.0,0.105,12367.0,0.104
GCE_ALL,2015,650332,New Hanover County Schools,The International School at Gregory,State Of North Carolina,E,0.148,9.0,214.0,0.105,12367.0,0.104
GCE_ALL,2015,650338,New Hanover County Schools,Heyward C Bellamy Elem,State Of North Carolina,E,0.0,0.0,214.0,0.105,12367.0,0.104
GCE_ALL,2015,650339,New Hanover County Schools,Holly Tree Elementary,State Of North Carolina,E,0.059,5.0,214.0,0.105,12367.0,0.104
GCE_ALL,2015,650341,New Hanover County Schools,John J Blair Elementary,State Of North Carolina,E,0.083,7.0,214.0,0.105,12367.0,0.104
GCE_ALL,2015,650345,New Hanover County Schools,Lake Forest Academy,State Of North Carolina,I,0.0,0.0,214.0,0.105,12367.0,0.104
GCE_ALL,2015,650346,New Hanover County Schools,Mary C Williams Elementary,State Of North Carolina,E,0.029,2.0,214.0,0.105,12367.0,0.104
