agency_code,ni_effect3,eff_effect3,he_effect3,ni_pct_effect3,eff_pct_effect3,he_pct_effect3
190339,2,32,8,0.0476190485,0.7619047761,0.190476194
190340,1,17,7,0.0399999991,0.6800000072,0.2800000012
190341,2,31,7,0.050000000700000005,0.7749999762,0.174999997
190342,1,59,22,0.0121951215,0.7195122242,0.2682926953
190346,7,34,10,0.13725490869999998,0.6666666864999999,0.1960784346
190348,6,25,6,0.1621621549,0.6756756902,0.1621621549
190350,3,32,18,0.0566037744,0.6037735939,0.3396226466
190352,4,17,8,0.137931034,0.5862069129999999,0.2758620679
190370,1,35,13,0.0204081628,0.7142857313,0.2653061152
19B000,1,2,0,0.3333333433,0.6666666864999999,0.0
19C000,0,1,0,0.0,1.0,0.0
200304,2,13,11,0.0769230798,0.5,0.4230769277000001
200308,5,6,6,0.2941176593,0.3529411852,0.3529411852
200310,2,13,4,0.1052631587,0.6842105389,0.2105263174
200312,3,6,2,0.2727272809,0.5454545617000001,0.1818181872
200314,3,7,7,0.1764705926,0.4117647111,0.4117647111
200320,1,11,4,0.0625,0.6875,0.25
200322,1,0,1,0.5,0.0,0.5
200324,1,18,6,0.0399999991,0.7200000286,0.2399999946
200328,12,9,7,0.4285714328,0.3214285672,0.25
200330,2,14,4,0.1000000015,0.6999999881,0.200000003
200332,0,8,7,0.0,0.5333333611,0.4666666687
200336,2,15,4,0.095238097,0.7142857313,0.190476194
200350,1,5,1,0.1428571492,0.7142857313,0.1428571492
20A000,0,9,9,0.0,0.5,0.5
210304,2,23,5,0.06666667009999999,0.7666666508,0.1666666716
210306,1,20,4,0.0399999991,0.8000000119,0.1599999964
210312,6,26,9,0.146341458,0.6341463327,0.21951219440000005
210316,3,16,16,0.08571428810000001,0.4571428597,0.4571428597
220308,3,8,6,0.1764705926,0.470588237,0.3529411852
220310,3,15,17,0.08571428810000001,0.4285714328,0.4857142866
220312,5,13,12,0.1666666716,0.4333333373,0.400000006
230304,0,17,12,0.0,0.5862069129999999,0.4137931168
230308,1,18,16,0.0285714287,0.5142857432,0.4571428597
230312,15,39,9,0.2380952388,0.6190476418,0.1428571492
230316,4,35,8,0.08510638029999999,0.7446808219,0.17021276059999998
230320,0,11,5,0.0,0.6875,0.3125
230322,1,5,1,0.1428571492,0.7142857313,0.1428571492
230324,12,44,10,0.1818181872,0.6666666864999999,0.15151515599999998
