agency_code,num_concentrators_aavc_cte_con,num_concentrators_agnr_cte_con,num_concentrators_arch_cte_con,num_concentrators_bma_cte_con,num_concentrators_educ_cte_con,num_concentrators_fina_cte_con,num_concentrators_hlth_cte_con,num_concentrators_hosp_cte_con,num_concentrators_huma_cte_con,num_concentrators_info_cte_con,num_concentrators_law_cte_con,num_concentrators_manu_cte_con,num_concentrators_mrkt_cte_con,num_concentrators_stem_cte_con,num_concentrators_tran_cte_con
490310,,4.0,1.0,,,,2.0,3.0,2.0,,2.0,2.0,,,
490320,,,,,,,,,,2.0,,,,,
490335,10.0,30.0,9.0,21.0,,2.0,27.0,26.0,4.0,23.0,9.0,4.0,1.0,13.0,7.0
490346,8.0,116.0,6.0,1.0,,,29.0,16.0,7.0,11.0,4.0,6.0,,4.0,
490350,,11.0,2.0,1.0,,,,4.0,1.0,2.0,,,,,2.0
490354,4.0,40.0,7.0,13.0,,1.0,25.0,26.0,9.0,21.0,1.0,,3.0,2.0,1.0
490355,,,,3.0,,,,,1.0,,,,,,
490362,8.0,28.0,,16.0,,2.0,36.0,26.0,2.0,13.0,,3.0,,1.0,17.0
490380,5.0,52.0,8.0,1.0,,,27.0,26.0,2.0,11.0,,4.0,,7.0,
491312,,23.0,22.0,8.0,,1.0,65.0,20.0,12.0,8.0,,,,6.0,22.0
49E000,,,,,,,,2.0,,,,,,19.0,
500302,,5.0,2.0,,,,,,,1.0,,,,,
500323,,,,1.0,,,,,,,,,,,
500324,,2.0,4.0,,,,1.0,1.0,,,,,,,1.0
500340,13.0,5.0,13.0,1.0,2.0,,20.0,6.0,10.0,9.0,2.0,1.0,1.0,8.0,1.0
510324,26.0,53.0,37.0,29.0,12.0,,35.0,5.0,,32.0,2.0,9.0,6.0,6.0,3.0
510325,1.0,,,2.0,,,,,,2.0,,,1.0,2.0,
510327,27.0,51.0,3.0,44.0,,,55.0,8.0,,38.0,1.0,2.0,30.0,24.0,
510333,31.0,104.0,19.0,37.0,,,73.0,45.0,3.0,25.0,6.0,7.0,38.0,1.0,28.0
510367,,,,3.0,,,,,,,1.0,,,1.0,
510368,,68.0,1.0,8.0,,,8.0,2.0,16.0,4.0,,18.0,8.0,,1.0
510376,,61.0,,6.0,,,6.0,26.0,7.0,19.0,1.0,,,,16.0
510399,6.0,20.0,7.0,11.0,,1.0,7.0,44.0,,4.0,2.0,15.0,1.0,12.0,4.0
510402,5.0,64.0,19.0,3.0,,1.0,65.0,5.0,1.0,15.0,,4.0,,,1.0
510406,9.0,74.0,42.0,29.0,,3.0,47.0,31.0,,24.0,2.0,,12.0,,4.0
51A000,,,,1.0,,,,,,,,1.0,,,
520320,,22.0,7.0,10.0,,2.0,11.0,6.0,,,,1.0,,,6.0
530306,,2.0,1.0,,,,,1.0,,,,,,,
530335,1.0,,1.0,2.0,,2.0,,,,,,,,,1.0
530336,41.0,22.0,23.0,31.0,2.0,22.0,10.0,38.0,9.0,31.0,1.0,35.0,6.0,11.0,15.0
530343,10.0,7.0,22.0,17.0,4.0,13.0,24.0,18.0,,5.0,2.0,9.0,,5.0,
540315,3.0,40.0,12.0,7.0,,,7.0,33.0,3.0,13.0,,1.0,,4.0,
540317,,,,,1.0,,,,,,,,,,
540324,4.0,56.0,13.0,1.0,,,36.0,25.0,,4.0,,16.0,2.0,18.0,1.0
540336,18.0,56.0,45.0,4.0,,,26.0,18.0,,5.0,1.0,6.0,,16.0,14.0
