digital_media,year,agency_code,category_code,device_access,device_access_grades,device_home,device_home_grades,BYOD,byod_grades,Book_TitlesPer_Student,wap,wap_class,media_school,devices
1,2019,400332,E,No,-,No,-,No,-,20.22,40,1.03,2003.0,1.47
1,2019,410304,E,No,-,No,-,No,-,26.38,52,1.63,1995.0,2.51
2,2019,410307,E,Yes,3:04,No,-,No,-,34.06,37,1.28,2003.0,1.02
1,2019,410310,E,No,-,No,-,No,-,21.75,26,0.76,2001.0,1.78
1,2019,410311,M,Yes,5:6:7:8,No,-,No,-,26.12,50,2.0,2008.0,0.39
33,2019,410313,M,Yes,6:07:08,Yes,6:07:08,No,-,16.92,66,1.2,2001.0,0.78
1,2019,410316,M,Yes,6:07:08,No,-,No,-,23.8,68,1.45,2001.0,0.74
10,2019,410319,H,Yes,9:10:11:12,Yes,9:10:11:12,No,-,14.62,91,1.4,2002.0,0.81
33,2019,410322,E,No,-,No,-,No,-,36.6,23,0.68,1998.0,2
20,2019,410325,M,Yes,6:07:08,Yes,6:07:08,No,-,17.6,60,1.28,2004.0,0.8
35,2019,410326,H,No,-,No,-,No,-,2.03,7,0.7,2001.0,0.47
1,2019,410328,E,No,-,No,-,No,-,27.1,30,0.77,1998.0,1.13
1,2019,410331,E,No,-,Yes,6:07:08,No,-,41.45,25,1.14,1994.0,0.52
25,2019,410334,E,No,-,No,-,No,-,27.48,45,0.96,1999.0,1.14
1,2019,410337,E,No,-,No,-,No,-,53.89,34,1.42,2002.0,1.31
31,2019,410340,E,No,-,No,-,No,-,44.18,38,1.27,2004.0,2.01
2,2019,410341,M,Yes,6:07:08,Yes,6:07:08,No,-,26.48,20,1.54,2003.0,0.71
1,2019,410343,E,No,-,No,-,No,-,30.93,28,0.72,1998.0,3.48
46,2019,410346,E,No,-,No,-,No,-,17.48,37,0.74,2001.0,1.5
1,2019,410349,E,Yes,3:04:05,No,-,No,-,19.46,32,0.91,2004.0,1.11
14,2019,410355,H,No,-,No,-,No,-,12.23,130,1.29,1996.0,1.73
12,2019,410358,H,No,-,No,-,No,-,12.08,102,1.29,2004.0,2.68
43,2019,410361,E,No,-,No,-,No,-,56.72,22,1.0,2002.0,1.33
1,2019,410364,E,No,-,No,-,No,-,24.22,31,0.86,2003.0,1.67
1,2019,410366,E,No,-,No,-,No,-,22.02,33,0.66,1998.0,2.34
9,2019,410367,M,Yes,6:07:08,Yes,6:07:08,No,-,27.32,80,1.33,2004.0,0.89
