agency_code,count_ALL_PK_ENROLL,count_AM7_PK_ENROLL,count_AS7_PK_ENROLL,count_BL7_PK_ENROLL,count_ELS_PK_ENROLL,count_FEM_PK_ENROLL,count_HI7_PK_ENROLL,count_MALE_PK_ENROLL,count_MU7_PK_ENROLL,count_PI7_PK_ENROLL,count_SWD_PK_ENROLL,count_WH7_PK_ENROLL
190LEA,243.0,1.0,5.0,32.0,0.0,116.0,97.0,127.0,11.0,,0.0,97.0
200304,28.0,1.0,,1.0,0.0,12.0,1.0,16.0,4.0,,0.0,21.0
200312,8.0,,,,0.0,4.0,1.0,4.0,,,0.0,7.0
200320,14.0,1.0,,,0.0,10.0,,4.0,,,0.0,13.0
200324,35.0,1.0,,,0.0,16.0,1.0,19.0,1.0,,0.0,32.0
200332,18.0,1.0,,,0.0,11.0,2.0,7.0,,,0.0,15.0
200336,17.0,,,,0.0,9.0,1.0,8.0,1.0,,0.0,15.0
200LEA,120.0,4.0,,1.0,0.0,62.0,6.0,58.0,6.0,,0.0,103.0
210316,60.0,,1.0,25.0,0.0,26.0,12.0,34.0,3.0,,0.0,19.0
210LEA,60.0,,1.0,25.0,0.0,26.0,12.0,34.0,3.0,,0.0,19.0
220308,64.0,,,2.0,0.0,28.0,4.0,36.0,,,0.0,58.0
220LEA,64.0,,,2.0,0.0,28.0,4.0,36.0,,,0.0,58.0
230304,30.0,,1.0,11.0,0.0,15.0,5.0,15.0,,,0.0,13.0
230308,33.0,,,9.0,0.0,21.0,,12.0,3.0,,0.0,21.0
230320,16.0,,,,0.0,6.0,,10.0,1.0,,0.0,15.0
230334,16.0,,,6.0,0.0,7.0,1.0,9.0,,,0.0,9.0
230340,34.0,,,6.0,0.0,21.0,1.0,13.0,1.0,,0.0,26.0
230342,33.0,,,23.0,0.0,12.0,4.0,21.0,3.0,1.0,0.0,2.0
230344,27.0,,,5.0,0.0,12.0,1.0,15.0,1.0,,0.0,20.0
230346,61.0,,,46.0,0.0,34.0,2.0,27.0,,1.0,0.0,12.0
230348,23.0,,,11.0,0.0,11.0,3.0,12.0,2.0,,0.0,7.0
230355,29.0,,1.0,14.0,0.0,14.0,2.0,15.0,3.0,,0.0,9.0
230357,16.0,,,9.0,0.0,6.0,1.0,10.0,,,0.0,6.0
230368,42.0,,,22.0,0.0,23.0,1.0,19.0,2.0,,0.0,17.0
230370,29.0,,,9.0,0.0,10.0,1.0,19.0,2.0,,0.0,17.0
230376,8.0,,,2.0,0.0,3.0,,5.0,1.0,,0.0,5.0
230380,16.0,,,7.0,0.0,7.0,,9.0,,,0.0,9.0
230LEA,413.0,,2.0,180.0,0.0,202.0,22.0,211.0,19.0,2.0,0.0,188.0
240308,32.0,1.0,,11.0,0.0,20.0,6.0,12.0,2.0,,0.0,12.0
240328,18.0,,,3.0,0.0,10.0,,8.0,3.0,,0.0,12.0
240332,15.0,,,8.0,0.0,7.0,1.0,8.0,2.0,,0.0,4.0
240344,18.0,1.0,,6.0,0.0,10.0,1.0,8.0,1.0,,0.0,9.0
240352,13.0,,,4.0,0.0,4.0,6.0,9.0,,,0.0,3.0
240354,32.0,12.0,,9.0,0.0,20.0,2.0,12.0,2.0,,0.0,7.0
240370,29.0,,,1.0,0.0,16.0,10.0,13.0,1.0,,0.0,17.0
240372,49.0,,,31.0,0.0,31.0,,18.0,,1.0,0.0,17.0
240388,32.0,,1.0,5.0,0.0,12.0,2.0,20.0,,,0.0,24.0
240LEA,238.0,14.0,1.0,78.0,0.0,130.0,28.0,108.0,11.0,1.0,0.0,105.0
241320,60.0,1.0,,24.0,0.0,26.0,14.0,34.0,7.0,,0.0,14.0
241LEA,60.0,1.0,,24.0,0.0,26.0,14.0,34.0,7.0,,0.0,14.0
250306,5.0,,,2.0,0.0,2.0,1.0,3.0,1.0,,0.0,1.0
250308,12.0,,,1.0,0.0,5.0,1.0,7.0,,,0.0,10.0
250320,34.0,,,8.0,0.0,20.0,4.0,14.0,4.0,,0.0,18.0
250328,25.0,,,3.0,0.0,7.0,4.0,18.0,5.0,,0.0,13.0
250348,17.0,,2.0,7.0,0.0,7.0,,10.0,2.0,,0.0,6.0
250350,27.0,,,10.0,0.0,9.0,8.0,18.0,,,0.0,9.0
250LEA,120.0,,2.0,31.0,0.0,50.0,18.0,70.0,12.0,,0.0,57.0
260306,15.0,,,3.0,0.0,6.0,4.0,9.0,2.0,,0.0,6.0
260310,14.0,,1.0,8.0,0.0,6.0,,8.0,3.0,1.0,0.0,1.0
260320,6.0,,,2.0,1.0,1.0,2.0,5.0,,,1.0,2.0
260326,16.0,,,7.0,0.0,5.0,3.0,11.0,3.0,,0.0,3.0
260332,16.0,,,1.0,0.0,7.0,2.0,9.0,,,0.0,13.0
260338,44.0,,2.0,20.0,0.0,19.0,11.0,25.0,3.0,1.0,0.0,7.0
260340,1.0,,,,0.0,,,1.0,,,0.0,1.0
260342,15.0,,1.0,4.0,0.0,7.0,1.0,8.0,4.0,,0.0,5.0
260348,16.0,,,10.0,0.0,7.0,1.0,9.0,1.0,,0.0,4.0
260352,44.0,1.0,1.0,18.0,0.0,16.0,8.0,28.0,8.0,,0.0,8.0
260356,16.0,,,,0.0,9.0,1.0,7.0,1.0,,0.0,14.0
260363,13.0,,2.0,7.0,0.0,6.0,1.0,7.0,,1.0,0.0,2.0
260364,17.0,,,6.0,0.0,7.0,6.0,10.0,1.0,,0.0,4.0
260370,32.0,4.0,1.0,15.0,0.0,13.0,1.0,19.0,2.0,,0.0,9.0
260373,29.0,2.0,1.0,5.0,0.0,19.0,8.0,10.0,3.0,,0.0,10.0
